urn,name,la_name,type,phase,gender,status,admissions_policy,religious_character,easting,northing,lineage,lineage_open_date,grade_2020,grade_2020_published,grade_2020_urn,comparator_urns,comparator_names,comparator_dist_m,comparator_grades,comparator_median,first_fail,all_fails,research_candidate
141133,London Enterprise Academy,Tower Hamlets,Free schools,Secondary,Mixed,Open,,None,534393.0,181349.0,141133,2014-09-01,4.0,2019-07-31,141133,138202;143629;100973,Wapping High School;Mulberry School for Girls;Swanlea School,249;355;704,2;1;1,1.0,C3: grade 4 not better than comparator median 1.0,C3: grade 4 not better than comparator median 1.0,False
143716,Mulberry Academy London Dock,Tower Hamlets,Free schools,Secondary,Mixed,Open,Non-selective,None,534294.0,180672.0,143716,2024-09-01,,,,141133;143629;138202,London Enterprise Academy;Mulberry School for Girls;Wapping High School,684;735;756,4;1;2,2.0,C1: opened 2024-09-01,C1: opened 2024-09-01 | C3: no grade in force on 2020-01-01,False
100968,Mulberry School for Girls,Tower Hamlets,Community school,Secondary,Girls,Closed,Non-selective,Does not apply,534736.0,181259.0,100968,1677-09-21,1.0,2013-09-06,100968,143629;138202;141133,Mulberry School for Girls;Wapping High School;London Enterprise Academy,0;126;355,1;2;4,2.0,C1: closed 2017-04-30,C1: closed 2017-04-30,False
144700,Mulberry Stepney Green Mathematics and Computing College,Tower Hamlets,Academy converter,Secondary,Mixed,Open,Non-selective,Does not apply,535898.0,181752.0,144700 < 100969,1677-09-21,2.0,2014-05-09,100969,100977;133289;100978,Stepney All Saints Church of England Secondary School;Bishop Challoner Boys' School;Bishop Challoner Catholic School,237;712;806,1;2;1,1.0,C3: grade 2 not better than comparator median 1.0,C3: grade 2 not better than comparator median 1.0,False
144756,Mulberry UTC,Tower Hamlets,University technical college,Secondary,Mixed,Open,Non-selective,Does not apply,536909.0,183621.0,144756,2017-09-01,,,,100975;140210;100967,Central Foundation Girls' School;Mossbourne Victoria Park Academy;Morpeth School,839;1142;1685,2;2;1,2.0,C1: type University technical college; opened 2017-09-01,C1: type University technical college; opened 2017-09-01 | C3: no grade in force on 2020-01-01,False
100972,Oaklands School,Tower Hamlets,Community school,Secondary,Mixed,Open,Non-selective,Does not apply,534550.0,182928.0,100972,1677-09-21,2.0,2013-07-10,100972,100979;137789;100277,Raine's Foundation School;Mulberry Academy Shoreditch;Haggerston School,255;585;796,3;1;2,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
100979,Raine's Foundation School,Tower Hamlets,Voluntary aided school,Secondary,Mixed,Closed,Non-selective,Church of England,534791.0,183010.0,100979,1900-01-01,3.0,2019-08-07,100979,100972;100967;137789,Oaklands School;Morpeth School;Mulberry Academy Shoreditch,255;819;839,2;1;1,1.0,C1: type Voluntary aided school; closed 2020-08-31,"C1: type Voluntary aided school; closed 2020-08-31 | C2 (GIAS): Non-selective, religious character Church of England | C3: grade 3 not better than comparator median 1.0",False
126676,St Bernard's School,Tower Hamlets,Voluntary aided school,Secondary,Mixed,Closed,,None,534223.0,182408.0,126676,1677-09-21,,,,137789;100972;100973,Mulberry Academy Shoreditch;Oaklands School;Swanlea School,369;614;629,1;2;1,1.0,C1: type Voluntary aided school; closed 1991-08-31,C1: type Voluntary aided school; closed 1991-08-31 | C3: no grade in force on 2020-01-01,False
100970,St Paul's Way Trust School,Tower Hamlets,Foundation school,All-through,Mixed,Closed,Non-selective,None,537149.0,181815.0,100970,1677-09-21,1.0,2013-04-22,100970,143379;100966;100975,St Paul's Way Trust School;Langdon Park Community School;Central Foundation Girls' School,0;939;1013,1;2;2,2.0,C1: closed 2016-08-31,C1: closed 2016-08-31,False
126677,St Philip Howard School,Tower Hamlets,Community school,Secondary,Mixed,Closed,,Does not apply,537432.0,181208.0,126677,1677-09-21,,,,100966;143379;100965,Langdon Park Community School;St Paul's Way Trust School;Bow School,643;670;1392,2;1;2,2.0,C1: closed 1991-08-31,C1: closed 1991-08-31 | C3: no grade in force on 2020-01-01,False
